representation,comparison,relation,bin_left,bin_right,bin_center,density
bioclip,normalized_organ,same,0.08199667245149614,0.09729672791063784,0.08964670018106699,0.038528935826266056
bioclip,normalized_organ,same,0.09729672791063784,0.1125967833697796,0.10494675564020872,0.08102408563464744
bioclip,normalized_organ,same,0.1125967833697796,0.12789683882892136,0.12024681109935048,0.14165049936127175
bioclip,normalized_organ,same,0.12789683882892136,0.14319689428806306,0.1355468665584922,0.21530875902913388
bioclip,normalized_organ,same,0.14319689428806306,0.15849694974720477,0.15084692201763392,0.3493101314248974
bioclip,normalized_organ,same,0.15849694974720477,0.17379700520634653,0.16614697747677565,0.5150412156775841
bioclip,normalized_organ,same,0.17379700520634653,0.1890970606654883,0.1814470329359174,0.7362992956798907
bioclip,normalized_organ,same,0.1890970606654883,0.20439711612463,0.19674708839505914,0.9909868935314609
bioclip,normalized_organ,same,0.20439711612463,0.2196971715837717,0.21204714385420084,1.360411395865659
bioclip,normalized_organ,same,0.2196971715837717,0.23499722704291345,0.22734719931334257,1.7270028882126254
bioclip,normalized_organ,same,0.23499722704291345,0.2502972825020552,0.24264725477248433,2.119374771443352
bioclip,normalized_organ,same,0.2502972825020552,0.2655973379611969,0.25794731023162604,2.54517617252334
bioclip,normalized_organ,same,0.2655973379611969,0.2808973934203386,0.27324736569076774,2.92253310282177
bioclip,normalized_organ,same,0.2808973934203386,0.2961974488794803,0.28854742114990944,3.283175274195569
bioclip,normalized_organ,same,0.2961974488794803,0.3114975043386221,0.3038474766090512,3.6072716167341334
bioclip,normalized_organ,same,0.3114975043386221,0.3267975597977638,0.31914753206819296,3.7917005669025365
bioclip,normalized_organ,same,0.3267975597977638,0.3420976152569055,0.33444758752733467,3.8707415455461267
bioclip,normalized_organ,same,0.3420976152569055,0.35739767071604733,0.3497476429864764,3.9146532003480923
bioclip,normalized_organ,same,0.35739767071604733,0.37269772617518904,0.3650476984456182,3.7786687209612992
bioclip,normalized_organ,same,0.37269772617518904,0.38799778163433074,0.3803477539047599,3.659115699500385
bioclip,normalized_organ,same,0.38799778163433074,0.40329783709347244,0.3956478093639016,3.4979174312272576
bioclip,normalized_organ,same,0.40329783709347244,0.41859789255261415,0.4109478648230433,3.165605359725713
bioclip,normalized_organ,same,0.41859789255261415,0.43389794801175596,0.42624792028218506,2.854257562129616
bioclip,normalized_organ,same,0.43389794801175596,0.44919800347089767,0.4415479757413268,2.5516920954939586
bioclip,normalized_organ,same,0.44919800347089767,0.46449805893003937,0.4568480312004685,2.2168303150039113
